First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Terrance Copper 	NORR 	4 	  	3  	29  	7.3  	9.7  	15  	1.3  	1  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 David Anderson 	HOU 	2 	  	2  	28  	14.0  	14.0  	19  	1.5  	1  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Antonio Chatman 	CIN 	2 	  	3  	28  	14.0  	9.3  	12  	3.7  	1  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Sinorice Moss 	NYG 	4 	  	2  	27  	6.8  	13.5  	17  	6.0  	2  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Dante Hall 	STL 	5 	  	4  	27  	5.4  	6.8  	12  	3.8  	2  	0  	 	20  	503  	25.2  	84  	0  	 	12  	181  	15.1  	85  	1  	 	0  	0  	 
 Steve Smith 	NYG 	2 	  	4  	26  	13.0  	6.5  	10  	2.8  	2  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Chris Davis 	TEN 	4 	  	4  	25  	6.3  	6.3  	8  	5.0  	0  	0  	 	0  	0  	0.0  	0  	0  	 	9  	102  	11.3  	28  	0  	 	1  	1  	 
 Sean Morey 	ARI 	5 	  	2  	23  	4.6  	11.5  	14  	2.0  	2  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Aundrae Allison 	MIN 	3 	  	1  	20  	6.7  	20.0  	11  	14.0  	1  	0  	 	4  	120  	30.0  	60  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Dane Looker 	STL 	4 	  	3  	19  	4.8  	6.3  	10  	3.0  	2  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Mark Bradley 	CHI 	5 	  	1  	17  	3.4  	17.0  	17  	2.0  	1  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
