First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Bryant Johnson 	ARI 	5 	  	14  	173  	34.6  	12.4  	19  	2.7  	10  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Brandon Jones 	TEN 	4 	  	13  	172  	43.0  	13.2  	35  	3.8  	7  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Michael Jenkins 	ATL 	5 	  	16  	170  	34.0  	10.6  	29  	4.1  	12  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Arnaz Battle 	SFO 	5 	  	15  	159  	31.8  	10.6  	23  	2.2  	8  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	0  	 
 Devery Henderson 	NORR 	4 	  	8  	146  	36.5  	18.3  	54  	5.8  	6  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Roscoe Parrish 	BUF 	4 	  	16  	145  	36.3  	9.1  	17  	3.9  	7  	0  	 	1  	21  	21.0  	21  	0  	 	2  	88  	44.0  	74  	1  	 	0  	0  	 
 Jerry Porter 	OAK 	4 	  	7  	144  	36.0  	20.6  	46  	6.3  	5  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Joe Jurevicius 	CLE 	5 	  	12  	132  	26.4  	11.0  	17  	3.6  	9  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Lance Moore 	NORR 	4 	  	12  	132  	33.0  	11.0  	22  	1.7  	7  	0  	 	9  	169  	18.8  	30  	0  	 	3  	41  	13.7  	30  	0  	 	0  	0  	 
 Jason Avant 	PHI 	4 	  	10  	130  	32.5  	13.0  	31  	3.2  	9  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Roydell Williams 	TEN 	4 	  	9  	128  	32.0  	14.2  	48  	3.7  	8  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Sam Hurd 	DAL 	5 	  	6  	120  	24.0  	20.0  	51  	7.5  	5  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Samie Parker 	KAN 	5 	  	10  	118  	23.6  	11.8  	22  	4.0  	6  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Hines Ward 	PIT 	3 	  	9  	108  	36.0  	12.0  	24  	5.1  	6  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Sidney Rice 	MIN 	4 	  	10  	106  	26.5  	10.6  	15  	3.2  	7  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Nate Washington 	PIT 	5 	  	8  	104  	20.8  	13.0  	30  	2.5  	3  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Muhsin Muhammad 	CHI 	5 	  	10  	102  	20.4  	10.2  	17  	3.8  	7  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Drew Carter 	CAR 	5 	  	9  	102  	20.4  	11.3  	24  	2.6  	7  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Josh Reed 	BUF 	3 	  	11  	99  	33.0  	9.0  	21  	4.5  	4  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Drew Bennett 	STL 	4 	  	8  	94  	23.5  	11.8  	19  	3.4  	6  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Joe Horn 	ATL 	5 	  	9  	92  	18.4  	10.2  	26  	2.2  	5  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 David Patten 	NORR 	4 	  	5  	90  	22.5  	18.0  	58  	10.0  	4  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Laurent Robinson 	ATL 	4 	  	11  	90  	22.5  	8.2  	14  	1.4  	4  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Tim Carter 	CLE 	5 	  	5  	86  	17.2  	17.2  	22  	3.6  	5  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Ruvell Martin 	GNB 	5 	  	5  	84  	16.8  	16.8  	36  	5.6  	5  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Jeff Webb 	KAN 	5 	  	6  	83  	16.6  	13.8  	32  	4.3  	2  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Jerheme Urban 	ARI 	2 	  	8  	81  	40.5  	10.1  	20  	2.1  	5  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Mark Clayton 	BAL 	5 	  	10  	81  	16.2  	8.1  	19  	2.6  	5  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Reggie Brown 	PHI 	4 	  	8  	81  	20.3  	10.1  	19  	2.8  	4  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Cedrick Wilson 	PIT 	5 	  	6  	81  	16.2  	13.5  	18  	0.7  	4  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Brad Smith 	NYJ 	4 	  	7  	76  	19.0  	10.9  	17  	3.1  	4  	1  	 	3  	81  	27.0  	27  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Ernest Wilford 	JAC 	4 	  	6  	75  	18.8  	12.5  	33  	5.7  	6  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Eric Moulds 	TEN 	4 	  	9  	73  	18.3  	8.1  	10  	1.1  	7  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Malcom Floyd 	SDGG 	5 	  	5  	72  	14.4  	14.4  	25  	1.0  	3  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
